DATE,Domestic Production
2008-01-01,325.5666666666666667
2008-04-01,301.0000000000000000
2008-07-01,342.2666666666666667
2008-10-01,271.7666666666666667
2009-01-01,132.3000000000000000
2009-04-01,149.9000000000000000
2009-07-01,213.0333333333333333
2009-10-01,236.2000000000000000
2010-01-01,229.2000000000000000
2010-04-01,235.2333333333333333
2010-07-01,226.8000000000000000
2010-10-01,214.8666666666666667
2011-01-01,222.8333333333333333
2011-04-01,224.0000000000000000
2011-07-01,244.0333333333333333
2011-10-01,291.3666666666666667
2012-01-01,326.5666666666666667
2012-04-01,343.7666666666666667
2012-07-01,348.5000000000000000
2012-10-01,346.9000000000000000
2013-01-01,369.8333333333333333
2013-04-01,368.0000000000000000
2013-07-01,347.3000000000000000
2013-10-01,365.8333333333333333
2014-01-01,353.0666666666666667
2014-04-01,343.4333333333333333
2014-07-01,364.0000000000000000
2014-10-01,358.3333333333333333
2015-01-01,343.4666666666666667
2015-04-01,356.1333333333333333
2015-07-01,362.3333333333333333
2015-10-01,325.3666666666666667
2016-01-01,330.7666666666666667
2016-04-01,326.4000000000000000
2016-07-01,329.7333333333333333
2016-10-01,308.3000000000000000
2017-01-01,273.8333333333333333
2017-04-01,276.2666666666666667
2017-07-01,230.0333333333333333
2017-10-01,222.6000000000000000
2018-01-01,241.1333333333333333
2018-04-01,236.2000000000000000
2018-07-01,211.3666666666666667
2018-10-01,239.6333333333333333
2019-01-01,220.6666666666666667
2019-04-01,210.2666666666666667
2019-07-01,205.3333333333333333
2019-10-01,199.6000000000000000
2020-01-01,194.2666666666666667
2020-04-01,63.7333333333333333
2020-07-01,197.9000000000000000
2020-10-01,178.3000000000000000
2021-01-01,150.5666666666666667
2021-04-01,128.9666666666666667
2021-07-01,113.6666666666666667
2021-10-01,132.3666666666666667
2022-01-01,132.2666666666666667
2022-04-01,141.6000000000000000
2022-07-01,149.0000000000000000
2022-10-01,141.6666666666666667
2023-01-01,147.4000000000000000
2023-04-01,147.1666666666666667
2023-07-01,154.0000000000000000
