DATE,MVLOAS
2008-04-01,798.13775
2008-07-01,801.67641
2008-10-01,777.27561
2009-01-01,755.68467
2009-04-01,742.02088
2009-07-01,736.77191
2009-10-01,719.08399
2010-01-01,717.93152
2010-04-01,708.05208
2010-07-01,698.39493
2010-10-01,713.49627
2011-01-01,730.08818
2011-04-01,734.45495
2011-07-01,743.75707
2011-10-01,751.04092
2012-01-01,759.33067
2012-04-01,777.54789
2012-07-01,798.39971
2012-10-01,809.24037
2013-01-01,821.43203
2013-04-01,841.20361
2013-07-01,866.53775
2013-10-01,878.18848
2014-01-01,891.65799
2014-04-01,917.51503
2014-07-01,942.62742
2014-10-01,955.28956
2015-01-01,962.36133
2015-04-01,987.55643
2015-07-01,1016.92515
2015-10-01,990.0397
2016-01-01,1000.21618
2016-04-01,1022.17357
2016-07-01,1051.19154
2016-10-01,1062.3413
2017-01-01,1068.02245
2017-04-01,1081.51242
2017-07-01,1093.95828
2017-10-01,1101.99186
2018-01-01,1105.01504
2018-04-01,1115.60529
2018-07-01,1131.41176
2018-10-01,1139.60835
2019-01-01,1144.16782
2019-04-01,1159.95396
2019-07-01,1175.43849
2019-10-01,1184.14153
2020-01-01,1183.90717
2020-04-01,1197.42577
2020-07-01,1218.44626
2020-10-01,1224.44675
2021-01-01,1240.75369
2021-04-01,1353.12681
2021-07-01,1378.86399
2021-10-01,1392.70044
2022-01-01,1410.5536
2022-04-01,1445.19726
2022-07-01,1476.90938
2022-10-01,1499.48983
2023-01-01,1516.36253
2023-04-01,1535.21454
2023-07-01,1549.40243
